city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bogotá,4.6126,-74.0705,Colombia,CO,Bogotá,primary,9464000,7963000
Medellín,6.2447,-75.5748,Colombia,CO,Antioquia,admin,2529403,2529403
Cali,3.4400,-76.5197,Colombia,CO,Valle del Cauca,admin,2471474,2471474
Barranquilla,10.9639,-74.7964,Colombia,CO,Atlántico,admin,1274250,1274250
Cartagena,10.4236,-75.5253,Colombia,CO,Bolívar,admin,1036412,1036412
Soacha,4.5781,-74.2144,Colombia,CO,Cundinamarca,minor,995268,995268
Palermo,2.8883,-75.4339,Colombia,CO,Huila,minor,800000,800000
Cúcuta,7.9075,-72.5047,Colombia,CO,Norte de Santander,admin,750000,750000
Soledad,10.9200,-74.7700,Colombia,CO,Atlántico,minor,698852,342556
Pereira,4.8143,-75.6946,Colombia,CO,Risaralda,admin,590554,590554
Bucaramanga,7.1186,-73.1161,Colombia,CO,Santander,admin,581130,581130
Valledupar,10.4603,-73.2597,Colombia,CO,Cesar,admin,544134,544134
Ibagué,4.4378,-75.2006,Colombia,CO,Tolima,admin,541101,541101
Villavicencio,4.1425,-73.6294,Colombia,CO,Meta,admin,527668,527668
Santa Marta,11.2361,-74.2017,Colombia,CO,Magdalena,admin,515556,515556
